frame_index,wall_clock_utc
0,2026-08-04T00:25:04.118485+00:00
1,2026-08-04T00:25:04.717363+00:00
2,2026-08-04T00:25:05.217526+00:00
3,2026-08-04T00:25:05.721715+00:00
4,2026-08-04T00:25:06.321448+00:00
5,2026-08-04T00:25:06.821858+00:00
6,2026-08-04T00:25:07.421940+00:00
7,2026-08-04T00:25:07.925870+00:00
8,2026-08-04T00:25:08.525575+00:00
9,2026-08-04T00:25:09.025788+00:00
10,2026-08-04T00:25:09.525935+00:00
11,2026-08-04T00:25:10.125691+00:00
12,2026-08-04T00:25:10.629726+00:00
13,2026-08-04T00:25:11.229809+00:00
14,2026-08-04T00:25:11.729810+00:00
15,2026-08-04T00:25:12.229833+00:00
16,2026-08-04T00:25:12.733742+00:00
17,2026-08-04T00:25:13.233796+00:00
18,2026-08-04T00:25:13.733849+00:00
19,2026-08-04T00:25:14.333440+00:00
20,2026-08-04T00:25:14.838028+00:00
21,2026-08-04T00:25:15.437825+00:00
22,2026-08-04T00:25:16.037934+00:00
23,2026-08-04T00:25:16.637833+00:00
24,2026-08-04T00:25:17.141588+00:00
25,2026-08-04T00:25:17.741332+00:00
26,2026-08-04T00:25:18.241779+00:00
27,2026-08-04T00:25:18.741819+00:00
28,2026-08-04T00:25:19.345713+00:00
29,2026-08-04T00:25:19.945429+00:00
30,2026-08-04T00:25:20.445464+00:00
31,2026-08-04T00:25:21.045791+00:00
32,2026-08-04T00:25:21.549751+00:00
33,2026-08-04T00:25:22.049910+00:00
34,2026-08-04T00:25:22.650023+00:00
35,2026-08-04T00:25:23.250000+00:00
36,2026-08-04T00:25:23.849370+00:00
37,2026-08-04T00:25:24.353426+00:00
38,2026-08-04T00:25:24.853624+00:00
39,2026-08-04T00:25:25.353826+00:00
40,2026-08-04T00:25:25.953883+00:00
