frame_index,wall_clock_utc
0,2026-08-04T00:22:58.482729+00:00
1,2026-08-04T00:22:59.081598+00:00
2,2026-08-04T00:22:59.681605+00:00
3,2026-08-04T00:23:00.185671+00:00
4,2026-08-04T00:23:00.785701+00:00
5,2026-08-04T00:23:01.285946+00:00
6,2026-08-04T00:23:01.785999+00:00
7,2026-08-04T00:23:02.289986+00:00
8,2026-08-04T00:23:02.889931+00:00
9,2026-08-04T00:23:03.489688+00:00
10,2026-08-04T00:23:04.089567+00:00
11,2026-08-04T00:23:04.593549+00:00
12,2026-08-04T00:23:05.094001+00:00
13,2026-08-04T00:23:05.693411+00:00
14,2026-08-04T00:23:06.193457+00:00
