frame_index,wall_clock_utc
0,2026-08-04T00:18:41.678643+00:00
1,2026-08-04T00:18:42.244466+00:00
2,2026-08-04T00:18:42.810567+00:00
3,2026-08-04T00:18:43.376221+00:00
4,2026-08-04T00:18:43.942101+00:00
5,2026-08-04T00:18:44.506996+00:00
6,2026-08-04T00:18:45.071250+00:00
7,2026-08-04T00:18:45.635316+00:00
8,2026-08-04T00:18:46.199665+00:00
9,2026-08-04T00:18:46.764784+00:00
10,2026-08-04T00:18:47.331988+00:00
11,2026-08-04T00:18:47.898368+00:00
12,2026-08-04T00:18:48.464287+00:00
13,2026-08-04T00:18:49.029741+00:00
14,2026-08-04T00:18:49.596245+00:00
15,2026-08-04T00:18:50.161385+00:00
16,2026-08-04T00:18:50.728397+00:00
17,2026-08-04T00:18:51.294909+00:00
18,2026-08-04T00:18:51.860116+00:00
19,2026-08-04T00:18:52.425769+00:00
20,2026-08-04T00:18:52.991370+00:00
21,2026-08-04T00:18:53.556354+00:00
22,2026-08-04T00:18:54.122155+00:00
23,2026-08-04T00:18:54.688399+00:00
24,2026-08-04T00:18:55.254539+00:00
25,2026-08-04T00:18:55.820451+00:00
26,2026-08-04T00:18:56.385754+00:00
27,2026-08-04T00:18:56.950039+00:00
28,2026-08-04T00:18:57.514957+00:00
29,2026-08-04T00:18:58.079747+00:00
30,2026-08-04T00:18:58.646417+00:00
31,2026-08-04T00:18:59.211416+00:00
32,2026-08-04T00:18:59.775347+00:00
33,2026-08-04T00:19:00.340681+00:00
34,2026-08-04T00:19:00.904986+00:00
35,2026-08-04T00:19:01.469540+00:00
36,2026-08-04T00:19:02.036408+00:00
37,2026-08-04T00:19:02.601475+00:00
38,2026-08-04T00:19:03.167435+00:00
39,2026-08-04T00:19:03.734299+00:00
40,2026-08-04T00:19:04.298994+00:00
41,2026-08-04T00:19:04.863843+00:00
42,2026-08-04T00:19:05.427907+00:00
43,2026-08-04T00:19:05.992969+00:00
44,2026-08-04T00:19:06.558405+00:00
45,2026-08-04T00:19:07.124061+00:00
46,2026-08-04T00:19:07.690362+00:00
47,2026-08-04T00:19:08.255006+00:00
48,2026-08-04T00:19:08.821722+00:00
49,2026-08-04T00:19:09.384955+00:00
50,2026-08-04T00:19:09.950136+00:00
51,2026-08-04T00:19:10.514754+00:00
52,2026-08-04T00:19:11.073178+00:00
53,2026-08-04T00:19:11.635324+00:00
54,2026-08-04T00:19:12.202261+00:00
55,2026-08-04T00:19:12.767820+00:00
56,2026-08-04T00:19:13.333766+00:00
57,2026-08-04T00:19:13.900774+00:00
58,2026-08-04T00:19:14.465557+00:00
59,2026-08-04T00:19:15.032628+00:00
60,2026-08-04T00:19:15.599324+00:00
61,2026-08-04T00:19:16.164217+00:00
62,2026-08-04T00:19:16.728327+00:00
63,2026-08-04T00:19:17.292024+00:00
64,2026-08-04T00:19:17.856862+00:00
65,2026-08-04T00:19:18.422036+00:00
66,2026-08-04T00:19:18.987449+00:00
67,2026-08-04T00:19:19.551566+00:00
68,2026-08-04T00:19:20.116301+00:00
69,2026-08-04T00:19:20.681890+00:00
70,2026-08-04T00:19:21.247471+00:00
71,2026-08-04T00:19:21.812217+00:00
72,2026-08-04T00:19:22.375751+00:00
73,2026-08-04T00:19:22.939424+00:00
74,2026-08-04T00:19:23.504364+00:00
75,2026-08-04T00:19:24.069597+00:00
76,2026-08-04T00:19:24.633545+00:00
77,2026-08-04T00:19:25.198027+00:00
78,2026-08-04T00:19:25.763195+00:00
79,2026-08-04T00:19:26.329265+00:00
80,2026-08-04T00:19:26.893235+00:00
81,2026-08-04T00:19:27.458073+00:00
82,2026-08-04T00:19:28.022015+00:00
83,2026-08-04T00:19:28.584305+00:00
84,2026-08-04T00:19:29.147404+00:00
85,2026-08-04T00:19:29.709194+00:00
86,2026-08-04T00:19:30.274009+00:00
87,2026-08-04T00:19:30.838908+00:00
88,2026-08-04T00:19:31.406290+00:00
89,2026-08-04T00:19:31.971671+00:00
90,2026-08-04T00:19:32.536808+00:00
91,2026-08-04T00:19:33.100824+00:00
92,2026-08-04T00:19:33.666565+00:00
93,2026-08-04T00:19:34.232269+00:00
94,2026-08-04T00:19:34.798305+00:00
95,2026-08-04T00:19:35.363894+00:00
96,2026-08-04T00:19:35.930565+00:00
97,2026-08-04T00:19:36.495172+00:00
98,2026-08-04T00:19:37.061264+00:00
99,2026-08-04T00:19:37.625682+00:00
100,2026-08-04T00:19:38.190651+00:00
101,2026-08-04T00:19:38.755709+00:00
102,2026-08-04T00:19:39.320308+00:00
103,2026-08-04T00:19:39.886274+00:00
104,2026-08-04T00:19:40.451135+00:00
105,2026-08-04T00:19:41.019067+00:00
106,2026-08-04T00:19:41.584117+00:00
107,2026-08-04T00:19:42.148455+00:00
108,2026-08-04T00:19:42.714037+00:00
109,2026-08-04T00:19:43.278319+00:00
110,2026-08-04T00:19:43.843648+00:00
111,2026-08-04T00:19:44.410173+00:00
112,2026-08-04T00:19:44.975900+00:00
113,2026-08-04T00:19:45.541740+00:00
114,2026-08-04T00:19:46.107996+00:00
115,2026-08-04T00:19:46.674567+00:00
116,2026-08-04T00:19:47.240619+00:00
117,2026-08-04T00:19:47.805814+00:00
118,2026-08-04T00:19:48.372620+00:00
119,2026-08-04T00:19:48.937957+00:00
120,2026-08-04T00:19:49.503370+00:00
121,2026-08-04T00:19:50.067445+00:00
122,2026-08-04T00:19:50.632288+00:00
123,2026-08-04T00:19:51.196456+00:00
124,2026-08-04T00:19:51.763633+00:00
125,2026-08-04T00:19:52.331216+00:00
126,2026-08-04T00:19:52.896191+00:00
127,2026-08-04T00:19:53.462303+00:00
128,2026-08-04T00:19:54.027151+00:00
129,2026-08-04T00:19:54.592481+00:00
130,2026-08-04T00:19:55.157752+00:00
131,2026-08-04T00:19:55.722973+00:00
132,2026-08-04T00:19:56.288504+00:00
133,2026-08-04T00:19:56.852814+00:00
134,2026-08-04T00:19:57.420116+00:00
135,2026-08-04T00:19:57.986782+00:00
136,2026-08-04T00:19:58.551886+00:00
137,2026-08-04T00:19:59.118424+00:00
138,2026-08-04T00:19:59.683449+00:00
139,2026-08-04T00:20:00.249059+00:00
140,2026-08-04T00:20:00.814458+00:00
141,2026-08-04T00:20:01.380619+00:00
142,2026-08-04T00:20:01.946107+00:00
143,2026-08-04T00:20:02.511597+00:00
144,2026-08-04T00:20:03.078091+00:00
145,2026-08-04T00:20:03.643641+00:00
146,2026-08-04T00:20:04.210621+00:00
147,2026-08-04T00:20:04.776242+00:00
148,2026-08-04T00:20:05.341678+00:00
149,2026-08-04T00:20:05.907922+00:00
150,2026-08-04T00:20:06.475028+00:00
151,2026-08-04T00:20:07.040113+00:00
152,2026-08-04T00:20:07.604396+00:00
153,2026-08-04T00:20:08.172309+00:00
154,2026-08-04T00:20:08.738066+00:00
155,2026-08-04T00:20:09.303778+00:00
156,2026-08-04T00:20:09.870632+00:00
157,2026-08-04T00:20:10.436232+00:00
158,2026-08-04T00:20:11.002037+00:00
159,2026-08-04T00:20:11.567168+00:00
160,2026-08-04T00:20:12.133862+00:00
161,2026-08-04T00:20:12.700484+00:00
162,2026-08-04T00:20:13.266458+00:00
163,2026-08-04T00:20:13.832140+00:00
164,2026-08-04T00:20:14.398362+00:00
165,2026-08-04T00:20:14.965074+00:00
166,2026-08-04T00:20:15.531345+00:00
167,2026-08-04T00:20:16.096177+00:00
168,2026-08-04T00:20:16.661140+00:00
169,2026-08-04T00:20:17.225804+00:00
170,2026-08-04T00:20:17.794003+00:00
171,2026-08-04T00:20:18.360582+00:00
172,2026-08-04T00:20:18.924691+00:00
173,2026-08-04T00:20:19.489756+00:00
174,2026-08-04T00:20:20.054384+00:00
175,2026-08-04T00:20:20.621003+00:00
176,2026-08-04T00:20:21.188320+00:00
177,2026-08-04T00:20:21.754294+00:00
178,2026-08-04T00:20:22.318428+00:00
179,2026-08-04T00:20:22.883690+00:00
180,2026-08-04T00:20:23.449389+00:00
181,2026-08-04T00:20:24.012847+00:00
182,2026-08-04T00:20:24.578974+00:00
183,2026-08-04T00:20:25.145203+00:00
184,2026-08-04T00:20:25.710557+00:00
185,2026-08-04T00:20:26.275625+00:00
186,2026-08-04T00:20:26.840814+00:00
187,2026-08-04T00:20:27.406022+00:00
188,2026-08-04T00:20:27.973154+00:00
189,2026-08-04T00:20:28.539215+00:00
190,2026-08-04T00:20:29.105016+00:00
191,2026-08-04T00:20:29.670083+00:00
192,2026-08-04T00:20:30.234461+00:00
193,2026-08-04T00:20:30.798442+00:00
194,2026-08-04T00:20:31.364648+00:00
195,2026-08-04T00:20:31.930076+00:00
196,2026-08-04T00:20:32.495030+00:00
197,2026-08-04T00:20:33.061380+00:00
198,2026-08-04T00:20:33.626230+00:00
199,2026-08-04T00:20:34.192766+00:00
200,2026-08-04T00:20:34.758232+00:00
201,2026-08-04T00:20:35.322822+00:00
202,2026-08-04T00:20:35.890389+00:00
203,2026-08-04T00:20:36.458317+00:00
204,2026-08-04T00:20:37.024751+00:00
205,2026-08-04T00:20:37.590242+00:00
206,2026-08-04T00:20:38.154267+00:00
207,2026-08-04T00:20:38.720276+00:00
208,2026-08-04T00:20:39.286002+00:00
209,2026-08-04T00:20:39.853155+00:00
210,2026-08-04T00:20:40.419976+00:00
211,2026-08-04T00:20:40.987259+00:00
212,2026-08-04T00:20:41.552328+00:00
213,2026-08-04T00:20:42.118149+00:00
214,2026-08-04T00:20:42.685332+00:00
215,2026-08-04T00:20:43.252710+00:00
216,2026-08-04T00:20:43.819596+00:00
217,2026-08-04T00:20:44.383972+00:00
218,2026-08-04T00:20:44.952028+00:00
219,2026-08-04T00:20:45.517201+00:00
220,2026-08-04T00:20:46.083848+00:00
221,2026-08-04T00:20:46.649851+00:00
222,2026-08-04T00:20:47.215399+00:00
223,2026-08-04T00:20:47.780453+00:00
224,2026-08-04T00:20:48.346007+00:00
225,2026-08-04T00:20:48.911301+00:00
226,2026-08-04T00:20:49.475932+00:00
227,2026-08-04T00:20:50.040768+00:00
228,2026-08-04T00:20:50.606003+00:00
229,2026-08-04T00:20:51.170419+00:00
230,2026-08-04T00:20:51.736342+00:00
231,2026-08-04T00:20:52.301694+00:00
232,2026-08-04T00:20:52.867454+00:00
233,2026-08-04T00:20:53.431618+00:00
234,2026-08-04T00:20:53.999529+00:00
235,2026-08-04T00:20:54.565925+00:00
236,2026-08-04T00:20:55.131384+00:00
237,2026-08-04T00:20:55.697228+00:00
238,2026-08-04T00:20:56.261830+00:00
239,2026-08-04T00:20:56.828693+00:00
240,2026-08-04T00:20:57.394727+00:00
241,2026-08-04T00:20:57.959794+00:00
242,2026-08-04T00:20:58.526539+00:00
243,2026-08-04T00:20:59.090808+00:00
244,2026-08-04T00:20:59.655114+00:00
245,2026-08-04T00:21:00.219274+00:00
246,2026-08-04T00:21:00.769768+00:00
247,2026-08-04T00:21:01.269778+00:00
248,2026-08-04T00:21:01.774239+00:00
249,2026-08-04T00:21:02.374226+00:00
250,2026-08-04T00:21:02.874252+00:00
251,2026-08-04T00:21:03.473822+00:00
252,2026-08-04T00:21:03.977846+00:00
253,2026-08-04T00:21:04.478213+00:00
254,2026-08-04T00:21:04.978214+00:00
255,2026-08-04T00:21:05.577886+00:00
256,2026-08-04T00:21:06.177881+00:00
257,2026-08-04T00:21:06.681808+00:00
258,2026-08-04T00:21:07.182195+00:00
259,2026-08-04T00:21:07.682269+00:00
260,2026-08-04T00:21:08.182280+00:00
261,2026-08-04T00:21:08.685708+00:00
262,2026-08-04T00:21:09.186182+00:00
263,2026-08-04T00:21:09.686249+00:00
264,2026-08-04T00:21:10.286303+00:00
265,2026-08-04T00:21:10.889721+00:00
266,2026-08-04T00:21:11.389792+00:00
267,2026-08-04T00:21:11.890121+00:00
268,2026-08-04T00:21:12.390227+00:00
269,2026-08-04T00:21:12.990045+00:00
270,2026-08-04T00:21:13.493884+00:00
271,2026-08-04T00:21:13.994223+00:00
272,2026-08-04T00:21:14.594254+00:00
273,2026-08-04T00:21:15.094302+00:00
274,2026-08-04T00:21:15.597846+00:00
275,2026-08-04T00:21:16.098111+00:00
276,2026-08-04T00:21:16.598297+00:00
277,2026-08-04T00:21:17.198313+00:00
278,2026-08-04T00:21:17.802236+00:00
279,2026-08-04T00:21:18.402269+00:00
280,2026-08-04T00:21:19.001932+00:00
281,2026-08-04T00:21:19.601883+00:00
282,2026-08-04T00:21:20.105887+00:00
283,2026-08-04T00:21:20.705938+00:00
284,2026-08-04T00:21:21.206123+00:00
285,2026-08-04T00:21:21.806046+00:00
286,2026-08-04T00:21:22.410012+00:00
287,2026-08-04T00:21:23.010079+00:00
288,2026-08-04T00:21:23.609769+00:00
289,2026-08-04T00:21:24.109875+00:00
290,2026-08-04T00:21:24.614237+00:00
291,2026-08-04T00:21:25.214053+00:00
292,2026-08-04T00:21:25.714273+00:00
293,2026-08-04T00:21:26.314069+00:00
294,2026-08-04T00:21:26.917840+00:00
295,2026-08-04T00:21:27.417913+00:00
296,2026-08-04T00:21:27.918256+00:00
297,2026-08-04T00:21:28.518058+00:00
298,2026-08-04T00:21:29.018421+00:00
299,2026-08-04T00:21:29.521764+00:00
300,2026-08-04T00:21:30.022210+00:00
301,2026-08-04T00:21:30.522226+00:00
302,2026-08-04T00:21:31.122294+00:00
303,2026-08-04T00:21:31.626257+00:00
304,2026-08-04T00:21:32.225867+00:00
305,2026-08-04T00:21:32.826345+00:00
306,2026-08-04T00:21:33.425881+00:00
307,2026-08-04T00:21:33.930139+00:00
308,2026-08-04T00:21:34.530301+00:00
309,2026-08-04T00:21:35.130292+00:00
310,2026-08-04T00:21:35.730253+00:00
311,2026-08-04T00:21:36.233733+00:00
312,2026-08-04T00:21:36.734025+00:00
313,2026-08-04T00:21:37.234246+00:00
314,2026-08-04T00:21:37.734267+00:00
315,2026-08-04T00:21:38.334063+00:00
316,2026-08-04T00:21:38.837828+00:00
317,2026-08-04T00:21:39.338254+00:00
318,2026-08-04T00:21:39.938235+00:00
319,2026-08-04T00:21:40.438372+00:00
320,2026-08-04T00:21:40.941822+00:00
321,2026-08-04T00:21:41.442069+00:00
322,2026-08-04T00:21:42.041813+00:00
323,2026-08-04T00:21:42.542123+00:00
324,2026-08-04T00:21:43.045764+00:00
325,2026-08-04T00:21:43.645929+00:00
326,2026-08-04T00:21:44.245772+00:00
327,2026-08-04T00:21:44.746049+00:00
328,2026-08-04T00:21:45.249761+00:00
329,2026-08-04T00:21:45.849828+00:00
330,2026-08-04T00:21:46.349937+00:00
331,2026-08-04T00:21:46.850244+00:00
332,2026-08-04T00:21:47.450240+00:00
333,2026-08-04T00:21:47.954042+00:00
334,2026-08-04T00:21:48.454108+00:00
335,2026-08-04T00:21:49.054004+00:00
336,2026-08-04T00:21:49.653834+00:00
337,2026-08-04T00:21:50.158028+00:00
338,2026-08-04T00:21:50.658170+00:00
339,2026-08-04T00:21:51.258243+00:00
340,2026-08-04T00:21:51.858317+00:00
341,2026-08-04T00:21:52.361730+00:00
342,2026-08-04T00:21:52.862284+00:00
343,2026-08-04T00:21:53.461952+00:00
344,2026-08-04T00:21:53.962250+00:00
345,2026-08-04T00:21:54.465810+00:00
346,2026-08-04T00:21:54.966156+00:00
347,2026-08-04T00:21:55.466366+00:00
348,2026-08-04T00:21:56.066241+00:00
349,2026-08-04T00:21:56.566247+00:00
350,2026-08-04T00:21:57.069910+00:00
351,2026-08-04T00:21:57.569939+00:00
352,2026-08-04T00:21:58.070348+00:00
353,2026-08-04T00:21:58.670287+00:00
354,2026-08-04T00:21:59.174051+00:00
355,2026-08-04T00:21:59.674067+00:00
356,2026-08-04T00:22:00.174269+00:00
357,2026-08-04T00:22:00.774244+00:00
358,2026-08-04T00:22:01.274343+00:00
359,2026-08-04T00:22:01.778108+00:00
360,2026-08-04T00:22:02.377824+00:00
361,2026-08-04T00:22:02.878097+00:00
362,2026-08-04T00:22:03.378257+00:00
363,2026-08-04T00:22:03.882088+00:00
364,2026-08-04T00:22:04.482046+00:00
365,2026-08-04T00:22:05.081844+00:00
366,2026-08-04T00:22:05.581938+00:00
367,2026-08-04T00:22:06.085930+00:00
368,2026-08-04T00:22:06.586134+00:00
369,2026-08-04T00:22:07.186201+00:00
370,2026-08-04T00:22:07.785904+00:00
371,2026-08-04T00:22:08.289776+00:00
372,2026-08-04T00:22:08.790257+00:00
373,2026-08-04T00:22:09.390245+00:00
374,2026-08-04T00:22:09.990240+00:00
375,2026-08-04T00:22:10.493888+00:00
376,2026-08-04T00:22:10.994077+00:00
377,2026-08-04T00:22:11.494235+00:00
378,2026-08-04T00:22:11.994241+00:00
379,2026-08-04T00:22:12.594097+00:00
380,2026-08-04T00:22:13.098033+00:00
