frame_index,wall_clock_utc
0,2026-08-03T23:35:47.342389+00:00
1,2026-08-03T23:35:47.700811+00:00
2,2026-08-03T23:35:48.057157+00:00
3,2026-08-03T23:35:48.414576+00:00
4,2026-08-03T23:35:48.769707+00:00
5,2026-08-03T23:35:49.124967+00:00
6,2026-08-03T23:35:49.480383+00:00
7,2026-08-03T23:35:49.834940+00:00
8,2026-08-03T23:35:50.193224+00:00
9,2026-08-03T23:35:50.549434+00:00
10,2026-08-03T23:35:50.904779+00:00
11,2026-08-03T23:35:51.259522+00:00
12,2026-08-03T23:35:51.615933+00:00
13,2026-08-03T23:35:51.971289+00:00
14,2026-08-03T23:35:52.326803+00:00
15,2026-08-03T23:35:52.681574+00:00
16,2026-08-03T23:35:53.036272+00:00
17,2026-08-03T23:35:53.391496+00:00
18,2026-08-03T23:35:53.746788+00:00
19,2026-08-03T23:35:54.104355+00:00
20,2026-08-03T23:35:54.459847+00:00
21,2026-08-03T23:35:54.814946+00:00
22,2026-08-03T23:35:55.170047+00:00
23,2026-08-03T23:35:55.525082+00:00
24,2026-08-03T23:35:55.881335+00:00
25,2026-08-03T23:35:56.237490+00:00
26,2026-08-03T23:35:56.592180+00:00
27,2026-08-03T23:35:56.947191+00:00
28,2026-08-03T23:35:57.302735+00:00
29,2026-08-03T23:35:57.658925+00:00
30,2026-08-03T23:35:58.013871+00:00
31,2026-08-03T23:35:58.370071+00:00
32,2026-08-03T23:35:58.725337+00:00
33,2026-08-03T23:35:59.082193+00:00
34,2026-08-03T23:35:59.437449+00:00
35,2026-08-03T23:35:59.792870+00:00
36,2026-08-03T23:36:00.149872+00:00
37,2026-08-03T23:36:00.504812+00:00
38,2026-08-03T23:36:00.860594+00:00
39,2026-08-03T23:36:01.215258+00:00
40,2026-08-03T23:36:01.571281+00:00
41,2026-08-03T23:36:01.926705+00:00
42,2026-08-03T23:36:02.282667+00:00
43,2026-08-03T23:36:02.637779+00:00
44,2026-08-03T23:36:02.993477+00:00
45,2026-08-03T23:36:03.349280+00:00
46,2026-08-03T23:36:03.704884+00:00
47,2026-08-03T23:36:04.060242+00:00
48,2026-08-03T23:36:04.414931+00:00
49,2026-08-03T23:36:04.770488+00:00
50,2026-08-03T23:36:05.126689+00:00
51,2026-08-03T23:36:05.482077+00:00
52,2026-08-03T23:36:05.836948+00:00
53,2026-08-03T23:36:06.192474+00:00
54,2026-08-03T23:36:06.547996+00:00
55,2026-08-03T23:36:06.903920+00:00
56,2026-08-03T23:36:07.259167+00:00
57,2026-08-03T23:36:07.614171+00:00
58,2026-08-03T23:36:07.969531+00:00
59,2026-08-03T23:36:08.325017+00:00
60,2026-08-03T23:36:08.681074+00:00
61,2026-08-03T23:36:09.035753+00:00
62,2026-08-03T23:36:09.391701+00:00
63,2026-08-03T23:36:09.747563+00:00
64,2026-08-03T23:36:10.103017+00:00
65,2026-08-03T23:36:10.458672+00:00
66,2026-08-03T23:36:10.815330+00:00
67,2026-08-03T23:36:11.171980+00:00
68,2026-08-03T23:36:11.527425+00:00
69,2026-08-03T23:36:11.882889+00:00
70,2026-08-03T23:36:12.238207+00:00
71,2026-08-03T23:36:12.593714+00:00
72,2026-08-03T23:36:12.950082+00:00
73,2026-08-03T23:36:13.305879+00:00
74,2026-08-03T23:36:13.663313+00:00
75,2026-08-03T23:36:14.017945+00:00
76,2026-08-03T23:36:14.372112+00:00
77,2026-08-03T23:36:14.727481+00:00
78,2026-08-03T23:36:15.083281+00:00
79,2026-08-03T23:36:15.437477+00:00
80,2026-08-03T23:36:15.793011+00:00
81,2026-08-03T23:36:16.151162+00:00
82,2026-08-03T23:36:16.507693+00:00
83,2026-08-03T23:36:16.863633+00:00
84,2026-08-03T23:36:17.219620+00:00
85,2026-08-03T23:36:17.573411+00:00
86,2026-08-03T23:36:17.928746+00:00
87,2026-08-03T23:36:18.282972+00:00
88,2026-08-03T23:36:18.640201+00:00
89,2026-08-03T23:36:18.995444+00:00
90,2026-08-03T23:36:19.351929+00:00
91,2026-08-03T23:36:19.707226+00:00
92,2026-08-03T23:36:20.062459+00:00
93,2026-08-03T23:36:20.416970+00:00
94,2026-08-03T23:36:20.772613+00:00
95,2026-08-03T23:36:21.126864+00:00
96,2026-08-03T23:36:21.481828+00:00
97,2026-08-03T23:36:21.837453+00:00
98,2026-08-03T23:36:22.193703+00:00
99,2026-08-03T23:36:22.548401+00:00
100,2026-08-03T23:36:22.903815+00:00
101,2026-08-03T23:36:23.259606+00:00
102,2026-08-03T23:36:23.615215+00:00
103,2026-08-03T23:36:23.970915+00:00
104,2026-08-03T23:36:24.324744+00:00
105,2026-08-03T23:36:24.681497+00:00
106,2026-08-03T23:36:25.036557+00:00
107,2026-08-03T23:36:25.391833+00:00
108,2026-08-03T23:36:25.746439+00:00
109,2026-08-03T23:36:26.101876+00:00
110,2026-08-03T23:36:26.457883+00:00
111,2026-08-03T23:36:26.812998+00:00
112,2026-08-03T23:36:27.168047+00:00
113,2026-08-03T23:36:27.522126+00:00
114,2026-08-03T23:36:27.877076+00:00
115,2026-08-03T23:36:28.232403+00:00
116,2026-08-03T23:36:28.588245+00:00
117,2026-08-03T23:36:28.944098+00:00
118,2026-08-03T23:36:29.298734+00:00
119,2026-08-03T23:36:29.654831+00:00
120,2026-08-03T23:36:30.010476+00:00
121,2026-08-03T23:36:30.365047+00:00
122,2026-08-03T23:36:30.720932+00:00
123,2026-08-03T23:36:31.075861+00:00
124,2026-08-03T23:36:31.430207+00:00
125,2026-08-03T23:36:31.785552+00:00
126,2026-08-03T23:36:32.140873+00:00
127,2026-08-03T23:36:32.495870+00:00
128,2026-08-03T23:36:32.851248+00:00
129,2026-08-03T23:36:33.206547+00:00
130,2026-08-03T23:36:33.563154+00:00
131,2026-08-03T23:36:33.918817+00:00
132,2026-08-03T23:36:34.274979+00:00
133,2026-08-03T23:36:34.630080+00:00
134,2026-08-03T23:36:34.986047+00:00
135,2026-08-03T23:36:35.342695+00:00
136,2026-08-03T23:36:35.699652+00:00
137,2026-08-03T23:36:36.055670+00:00
138,2026-08-03T23:36:36.411873+00:00
139,2026-08-03T23:36:36.769489+00:00
140,2026-08-03T23:36:37.125094+00:00
141,2026-08-03T23:36:37.480822+00:00
142,2026-08-03T23:36:37.837201+00:00
143,2026-08-03T23:36:38.193851+00:00
144,2026-08-03T23:36:38.549307+00:00
145,2026-08-03T23:36:38.903862+00:00
146,2026-08-03T23:36:39.259713+00:00
147,2026-08-03T23:36:39.616038+00:00
148,2026-08-03T23:36:39.972402+00:00
149,2026-08-03T23:36:40.329488+00:00
150,2026-08-03T23:36:40.685460+00:00
151,2026-08-03T23:36:41.041792+00:00
152,2026-08-03T23:36:41.396452+00:00
153,2026-08-03T23:36:41.752268+00:00
154,2026-08-03T23:36:42.107547+00:00
155,2026-08-03T23:36:42.462024+00:00
156,2026-08-03T23:36:42.817314+00:00
157,2026-08-03T23:36:43.172623+00:00
158,2026-08-03T23:36:43.529480+00:00
159,2026-08-03T23:36:43.885735+00:00
160,2026-08-03T23:36:44.240865+00:00
161,2026-08-03T23:36:44.597997+00:00
162,2026-08-03T23:36:44.954130+00:00
163,2026-08-03T23:36:45.309061+00:00
164,2026-08-03T23:36:45.664412+00:00
165,2026-08-03T23:36:46.019391+00:00
166,2026-08-03T23:36:46.374139+00:00
167,2026-08-03T23:36:46.729638+00:00
168,2026-08-03T23:36:47.085118+00:00
169,2026-08-03T23:36:47.439889+00:00
170,2026-08-03T23:36:47.795234+00:00
171,2026-08-03T23:36:48.152261+00:00
172,2026-08-03T23:36:48.509351+00:00
173,2026-08-03T23:36:48.864571+00:00
174,2026-08-03T23:36:49.219949+00:00
175,2026-08-03T23:36:49.575372+00:00
176,2026-08-03T23:36:49.930876+00:00
177,2026-08-03T23:36:50.286968+00:00
178,2026-08-03T23:36:50.642050+00:00
179,2026-08-03T23:36:50.999408+00:00
180,2026-08-03T23:36:51.354881+00:00
181,2026-08-03T23:36:51.709384+00:00
182,2026-08-03T23:36:52.065630+00:00
183,2026-08-03T23:36:52.420903+00:00
184,2026-08-03T23:36:52.776532+00:00
185,2026-08-03T23:36:53.133230+00:00
186,2026-08-03T23:36:53.488006+00:00
187,2026-08-03T23:36:53.843616+00:00
188,2026-08-03T23:36:54.198214+00:00
189,2026-08-03T23:36:54.554192+00:00
190,2026-08-03T23:36:54.908795+00:00
191,2026-08-03T23:36:55.265344+00:00
192,2026-08-03T23:36:55.619842+00:00
193,2026-08-03T23:36:55.975079+00:00
194,2026-08-03T23:36:56.330162+00:00
195,2026-08-03T23:36:56.685469+00:00
196,2026-08-03T23:36:57.040468+00:00
197,2026-08-03T23:36:57.395800+00:00
198,2026-08-03T23:36:57.752071+00:00
199,2026-08-03T23:36:58.108295+00:00
200,2026-08-03T23:36:58.464415+00:00
201,2026-08-03T23:36:58.819882+00:00
202,2026-08-03T23:36:59.175636+00:00
203,2026-08-03T23:36:59.530958+00:00
204,2026-08-03T23:36:59.885732+00:00
205,2026-08-03T23:37:00.240741+00:00
206,2026-08-03T23:37:00.596763+00:00
207,2026-08-03T23:37:00.952470+00:00
208,2026-08-03T23:37:01.307621+00:00
209,2026-08-03T23:37:01.663119+00:00
210,2026-08-03T23:37:02.019200+00:00
211,2026-08-03T23:37:02.375716+00:00
212,2026-08-03T23:37:02.731648+00:00
213,2026-08-03T23:37:03.087662+00:00
214,2026-08-03T23:37:03.443038+00:00
215,2026-08-03T23:37:03.797796+00:00
216,2026-08-03T23:37:04.153372+00:00
217,2026-08-03T23:37:04.508949+00:00
218,2026-08-03T23:37:04.864817+00:00
219,2026-08-03T23:37:05.222556+00:00
220,2026-08-03T23:37:05.577475+00:00
221,2026-08-03T23:37:05.935114+00:00
222,2026-08-03T23:37:06.291158+00:00
223,2026-08-03T23:37:06.647541+00:00
224,2026-08-03T23:37:07.002262+00:00
225,2026-08-03T23:37:07.357950+00:00
226,2026-08-03T23:37:07.713885+00:00
227,2026-08-03T23:37:08.069606+00:00
228,2026-08-03T23:37:08.425534+00:00
229,2026-08-03T23:37:08.780301+00:00
230,2026-08-03T23:37:09.135776+00:00
231,2026-08-03T23:37:09.492004+00:00
232,2026-08-03T23:37:09.848543+00:00
233,2026-08-03T23:37:10.205762+00:00
234,2026-08-03T23:37:10.561670+00:00
235,2026-08-03T23:37:10.916967+00:00
236,2026-08-03T23:37:11.272387+00:00
237,2026-08-03T23:37:11.628411+00:00
238,2026-08-03T23:37:11.983732+00:00
239,2026-08-03T23:37:12.339909+00:00
240,2026-08-03T23:37:12.696992+00:00
241,2026-08-03T23:37:13.051886+00:00
242,2026-08-03T23:37:13.406985+00:00
243,2026-08-03T23:37:13.762197+00:00
244,2026-08-03T23:37:14.118221+00:00
245,2026-08-03T23:37:14.473631+00:00
246,2026-08-03T23:37:14.829467+00:00
247,2026-08-03T23:37:15.186219+00:00
248,2026-08-03T23:37:15.541546+00:00
249,2026-08-03T23:37:15.896677+00:00
250,2026-08-03T23:37:16.252131+00:00
251,2026-08-03T23:37:16.609155+00:00
252,2026-08-03T23:37:16.964364+00:00
253,2026-08-03T23:37:17.318603+00:00
254,2026-08-03T23:37:17.677476+00:00
255,2026-08-03T23:37:18.033715+00:00
256,2026-08-03T23:37:18.389526+00:00
257,2026-08-03T23:37:18.744645+00:00
258,2026-08-03T23:37:19.100761+00:00
259,2026-08-03T23:37:19.455187+00:00
260,2026-08-03T23:37:19.813071+00:00
261,2026-08-03T23:37:20.167966+00:00
262,2026-08-03T23:37:20.523154+00:00
263,2026-08-03T23:37:20.878223+00:00
264,2026-08-03T23:37:21.233195+00:00
265,2026-08-03T23:37:21.587105+00:00
266,2026-08-03T23:37:21.942270+00:00
267,2026-08-03T23:37:22.296827+00:00
268,2026-08-03T23:37:22.652253+00:00
269,2026-08-03T23:37:23.007498+00:00
270,2026-08-03T23:37:23.363226+00:00
271,2026-08-03T23:37:23.719687+00:00
272,2026-08-03T23:37:24.075135+00:00
273,2026-08-03T23:37:24.431307+00:00
274,2026-08-03T23:37:24.786196+00:00
275,2026-08-03T23:37:25.142697+00:00
276,2026-08-03T23:37:25.499029+00:00
277,2026-08-03T23:37:25.854225+00:00
278,2026-08-03T23:37:26.210010+00:00
279,2026-08-03T23:37:26.565455+00:00
280,2026-08-03T23:37:26.920746+00:00
281,2026-08-03T23:37:27.276468+00:00
282,2026-08-03T23:37:27.632712+00:00
283,2026-08-03T23:37:27.987381+00:00
284,2026-08-03T23:37:28.342168+00:00
285,2026-08-03T23:37:28.697729+00:00
286,2026-08-03T23:37:29.053882+00:00
287,2026-08-03T23:37:29.410469+00:00
288,2026-08-03T23:37:29.765277+00:00
289,2026-08-03T23:37:30.119540+00:00
290,2026-08-03T23:37:30.474272+00:00
291,2026-08-03T23:37:30.829896+00:00
292,2026-08-03T23:37:31.185229+00:00
293,2026-08-03T23:37:31.539928+00:00
294,2026-08-03T23:37:31.895701+00:00
295,2026-08-03T23:37:32.250667+00:00
296,2026-08-03T23:37:32.605234+00:00
297,2026-08-03T23:37:32.960987+00:00
298,2026-08-03T23:37:33.315737+00:00
299,2026-08-03T23:37:33.671440+00:00
300,2026-08-03T23:37:34.027255+00:00
301,2026-08-03T23:37:34.381807+00:00
302,2026-08-03T23:37:34.738482+00:00
303,2026-08-03T23:37:35.093871+00:00
304,2026-08-03T23:37:35.449242+00:00
305,2026-08-03T23:37:35.805091+00:00
306,2026-08-03T23:37:36.160421+00:00
307,2026-08-03T23:37:36.515836+00:00
308,2026-08-03T23:37:36.871286+00:00
309,2026-08-03T23:37:37.226531+00:00
310,2026-08-03T23:37:37.582035+00:00
311,2026-08-03T23:37:37.937001+00:00
312,2026-08-03T23:37:38.292023+00:00
313,2026-08-03T23:37:38.647268+00:00
314,2026-08-03T23:37:39.003481+00:00
315,2026-08-03T23:37:39.358785+00:00
316,2026-08-03T23:37:39.714464+00:00
317,2026-08-03T23:37:40.069438+00:00
318,2026-08-03T23:37:40.424929+00:00
319,2026-08-03T23:37:40.781136+00:00
320,2026-08-03T23:37:41.136941+00:00
321,2026-08-03T23:37:41.492046+00:00
322,2026-08-03T23:37:41.847844+00:00
323,2026-08-03T23:37:42.203155+00:00
