time,current,voltage,x,y,z,feedrate,arc_i,arc_j,arc_dir
0.500000,1.950000,13.400000,0.000000,0.000000,0.000000,1200.000000,,,
2.000000,1.950000,13.400000,2.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,-2.474874,-2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,2.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,-2.474874,-2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,2.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,-2.474874,-2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,2.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,-2.474874,-2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,2.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,-2.474874,-2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,2.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,-2.474874,-2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,2.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,-2.474874,-2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,2.474874,2.474874,0.000000,210.000000,,,
0.492070,1.950000,13.400000,12.000000,0.000000,0.000000,1200.000000,,,
2.000000,1.950000,13.400000,14.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,9.525126,-2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,14.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,9.525126,-2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,14.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,9.525126,-2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,14.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,9.525126,-2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,14.474874,2.474874,0.000000,210.000000,,,
2.000000,1.950000,13.400000,9.525126,-2.474874,0.000000,210.000000,,,
