time,current,voltage,x,y,z,feedrate,arc_i,arc_j,arc_dir
0.500000,1.950000,13.400000,0.000000,0.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,0.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,0.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,0.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,-2.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,12.000000,0.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,12.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,-2.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,24.000000,0.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,24.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,-2.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,36.000000,0.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,36.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,-2.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,48.000000,0.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,48.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,-2.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,60.000000,0.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,60.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,-2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,2.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,-2.500000,0.000000,60.000000,,,
1.851817,1.950000,13.400000,0.000000,12.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,0.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,0.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,0.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,9.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,12.000000,12.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,12.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,9.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,24.000000,12.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,24.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,9.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,36.000000,12.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,36.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,9.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,48.000000,12.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,48.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,9.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,60.000000,12.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,60.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,9.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,14.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,9.500000,0.000000,60.000000,,,
1.851817,1.950000,13.400000,0.000000,24.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,0.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,0.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,0.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,21.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,12.000000,24.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,12.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,21.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,24.000000,24.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,24.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,21.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,36.000000,24.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,36.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,36.000000,21.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,48.000000,24.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,48.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,48.000000,21.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,60.000000,24.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,60.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,21.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,26.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,60.000000,21.500000,0.000000,60.000000,,,
1.851817,1.950000,13.400000,0.000000,36.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,0.000000,38.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,33.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,0.000000,38.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,33.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,0.000000,38.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,-0.000000,33.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,12.000000,36.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,12.000000,38.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,33.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,38.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,33.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,38.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,12.000000,33.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,24.000000,36.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,24.000000,38.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,33.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,38.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,33.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,38.500000,0.000000,60.000000,,,
5.000000,1.950000,13.400000,24.000000,33.500000,0.000000,60.000000,,,
0.367730,1.950000,13.400000,36.000000,36.000000,0.000000,2000.000000,,,
5.000000,1.950000,13.400000,36.000000,38.500000,0.000000,60.000000,,,
