time,current,voltage,x,y,z,feedrate,arc_i,arc_j,arc_dir
0.500000,1.950000,13.400000,0.000000,0.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,5.000000,0.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,-5.000000,0.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,9.000000,0.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,14.000000,0.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,4.000000,0.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,18.000000,0.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,23.000000,0.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,13.000000,0.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,27.000000,0.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,32.000000,0.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,22.000000,0.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,36.000000,0.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,41.000000,0.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,31.000000,0.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,45.000000,0.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,50.000000,0.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,40.000000,0.000000,0.000000,40.000000,,,
1.230000,1.950000,13.400000,0.000000,9.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,5.000000,9.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,-5.000000,9.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,9.000000,9.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,14.000000,9.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,4.000000,9.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,18.000000,9.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,23.000000,9.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,13.000000,9.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,27.000000,9.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,32.000000,9.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,22.000000,9.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,36.000000,9.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,41.000000,9.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,31.000000,9.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,45.000000,9.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,50.000000,9.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,40.000000,9.000000,0.000000,40.000000,,,
1.230000,1.950000,13.400000,0.000000,18.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,5.000000,18.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,-5.000000,18.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,9.000000,18.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,14.000000,18.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,4.000000,18.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,18.000000,18.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,23.000000,18.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,13.000000,18.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,27.000000,18.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,32.000000,18.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,22.000000,18.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,36.000000,18.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,41.000000,18.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,31.000000,18.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,45.000000,18.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,50.000000,18.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,40.000000,18.000000,0.000000,40.000000,,,
1.230000,1.950000,13.400000,0.000000,27.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,5.000000,27.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,-5.000000,27.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,9.000000,27.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,14.000000,27.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,4.000000,27.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,18.000000,27.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,23.000000,27.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,13.000000,27.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,27.000000,27.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,32.000000,27.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,22.000000,27.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,36.000000,27.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,41.000000,27.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,31.000000,27.000000,0.000000,40.000000,,,
0.420000,1.950000,13.400000,45.000000,27.000000,0.000000,2000.000000,,,
15.000000,1.950000,13.400000,50.000000,27.000000,0.000000,40.000000,,,
15.000000,1.950000,13.400000,40.000000,27.000000,0.000000,40.000000,,,
